% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 16 2018, 17:13"
% Table,Accumulated Probe Table 2 - 
% period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
3600,658.6252657262879,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,711.3261116605082,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,754.3022642967032,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,797.2784169328983,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,840.2545695690933,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,883.2307222052883,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,926.2068748414833,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,969.1830274776784,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1012.1591801138734,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1055.1353327500683,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1098.1114853862632,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1141.0876380224581,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1184.063790658653,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1227.039943294848,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,1270.0160959310429,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
